連番	セクション	原票No./ID	区分	設計対象	設計項目	設定値／内容	設計目的・根拠	配置／適用対象	Terraform管理単位	Terraform Resource／方式	テスト／確認方法	確認状況	備考	詳細内容
43	04_SCP設計	7		DenyIAMUserCreation			長期認証情報の作成防止	Prod		aws_organizations_policy + attachment	IAM User作成不可	検討中		Policy ID（実績）：構築後記入 / Target ID（実績）：OU ID / 主な制御Action／内容：iam:CreateUser、CreateAccessKeyをDeny / 例外Principal：BreakGlassRole / 例外条件：aws:PrincipalArn / JSONファイル：policies/deny-iam-user.json
44	04_SCP設計	8		SandboxServiceLimit			高額・高リスクサービス制限	Sandbox		aws_organizations_policy + attachment	対象サービス作成不可	検討中	Budgetと併用	Policy ID（実績）：構築後記入 / Target ID（実績）：OU ID / 主な制御Action／内容：未承認サービス／購入操作をDeny / 例外Principal：PlatformAdminRole / 例外条件：aws:PrincipalArn / JSONファイル：policies/sandbox-service-limit.json
45	04_SCP設計	9		DenyAllSuspended			停止アカウントの全操作拒否	Suspended		aws_organizations_policy + attachment	全リソース操作不可	確定		Policy ID（実績）：構築後記入 / Target ID（実績）：OU ID / 主な制御Action／内容：Action:* をDeny / 例外Principal：復旧専用経路 / 例外条件：設計に応じて例外 / JSONファイル：policies/deny-all.json
46	05_組織ポリシー	1	SERVICE_CONTROL_POLICY	共通SCP群		Deny中心、例外条件を明示	IAM Principalの最大権限境界を制御	Root／OU／Account		aws_organizations_policy		確定		強制／検知：強制 / 定義ファイル：policies/scp/*.json
47	05_組織ポリシー	2	TAG_POLICY	RequiredTags		Environment/System/Owner/CostCenter/ManagedBy	タグKey、大小文字、許容値を標準化	Workloads		aws_organizations_policy		検討中	対応リソース範囲を確認	強制／検知：準拠確認・対応資源では強制 / 定義ファイル：policies/tag/required-tags.json
48	05_組織ポリシー	3	BACKUP_POLICY	ProdBackupPolicy		日次、保持期間、クロスアカウント／リージョンコピー	本番バックアップ設定を集中管理	Prod		aws_organizations_policy		検討中	AWS Backup側設計と整合	強制／検知：強制 / 定義ファイル：policies/backup/prod-backup.json
49	05_組織ポリシー	4	RESOURCE_CONTROL_POLICY	OrgResourceBoundary		aws:PrincipalOrgID等の条件を利用	組織内リソースが受け付ける外部アクセス範囲を制御	Root／Workloads		aws_organizations_policy		検討中	利用サービスのRCP対応を確認	強制／検知：強制 / 定義ファイル：policies/rcp/org-resource-boundary.json
50	05_組織ポリシー	5	AI_SERVICES_OPT_OUT_POLICY	AIOptOutPolicy		法務・セキュリティ方針に応じて設定	AIサービスのコンテンツ利用設定を統一	Root		aws_organizations_policy		対象外	利用要件がある場合のみ	強制／検知：強制 / 定義ファイル：policies/ai/opt-out.json
51	06_委任管理	1	CloudFormation StackSets							aws_organizations_delegated_administrator + aws_cloudformation_stack_set		検討中	SERVICE_MANAGEDを利用	Trusted Access：有効 / Service Principal：member.org.stacksets.cloudformation.amazonaws.com / Delegated Admin Account：shared-services / Account ID（実績）：構築後記入 / ホーム／集約Region：ap-northeast-1 / 新規アカウント自動有効化：有効 / 有効化順序：Trusted Access→委任管理→StackSet
52	06_委任管理	2	AWS Security Hub							Security Hubサービス固有リソースを優先		検討中		Trusted Access：有効 / Service Principal：サービス別公式値を記入 / Delegated Admin Account：security-tooling / Account ID（実績）：構築後記入 / ホーム／集約Region：ap-northeast-1 / 新規アカウント自動有効化：有効 / 有効化順序：委任管理→組織設定→標準有効化
53	06_委任管理	3	Amazon GuardDuty							GuardDutyサービス固有リソースを優先		検討中		Trusted Access：有効 / Service Principal：サービス別公式値を記入 / Delegated Admin Account：security-tooling / Account ID（実績）：構築後記入 / ホーム／集約Region：利用全Region / 新規アカウント自動有効化：有効 / 有効化順序：Detector→委任管理→組織設定
54	06_委任管理	4	Amazon Inspector							Inspector2サービス固有リソースを優先		検討中		Trusted Access：有効 / Service Principal：サービス別公式値を記入 / Delegated Admin Account：security-tooling / Account ID（実績）：構築後記入 / ホーム／集約Region：利用全Region / 新規アカウント自動有効化：有効 / 有効化順序：委任管理→組織設定
55	06_委任管理	5	Amazon Macie							Macieサービス固有リソースを優先		対象外	S3機密情報検知要件時	Trusted Access：要件時有効 / Service Principal：サービス別公式値を記入 / Delegated Admin Account：security-tooling / Account ID（実績）：構築後記入 / ホーム／集約Region：ap-northeast-1 / 新規アカウント自動有効化：要件に応じる / 有効化順序：委任管理→自動有効化
56	06_委任管理	6	AWS Config							Aggregator／Organization RuleをTerraform管理		検討中		Trusted Access：有効 / Service Principal：サービス別公式値を記入 / Delegated Admin Account：security-tooling / Account ID（実績）：構築後記入 / ホーム／集約Region：利用全Region / 新規アカウント自動有効化：StackSetsでRecorder配備 / 有効化順序：Recorder→Aggregator→Rules
57	06_委任管理	7	AWS Backup							Organizations Policy + AWS Backupリソース		検討中		Trusted Access：要件時有効 / Service Principal：backup.amazonaws.com等を公式確認 / Delegated Admin Account：shared-services / Account ID（実績）：構築後記入 / ホーム／集約Region：ap-northeast-1 / 新規アカウント自動有効化：有効 / 有効化順序：Vault→Policy→Attachment
58	06_委任管理	8	AWS Firewall Manager							Firewall Managerサービス固有設定		対象外	AWS Config前提	Trusted Access：要件時有効 / Service Principal：サービス別公式値を記入 / Delegated Admin Account：security-tooling / Account ID（実績）：構築後記入 / ホーム／集約Region：ap-northeast-1 / 新規アカウント自動有効化：有効 / 有効化順序：Config→委任管理→Policy
59	07_IdentityCenter	1		OrganizationAdmin			Organizations管理	Management				検討中	少人数に限定	Session Duration：1h / AWS Managed Policy：AdministratorAccess相当を精査 / Customer Managed Policy：OrgAdminPolicy / Inline Policy：必要最小限の組織管理Action / Permissions Boundary：OrgAdminBoundary / 割当Group：Platform-Admin / MFA：必須 / CLI利用：可
60	07_IdentityCenter	2		SecurityAdmin			安全サービス管理	Security OU				検討中		Session Duration：4h / AWS Managed Policy：SecurityAudit + 必要な管理権限 / Customer Managed Policy：SecurityAdminPolicy / Inline Policy：サービス固有管理権限 / Permissions Boundary：SecurityBoundary / 割当Group：Security-Team / MFA：必須 / CLI利用：可
61	07_IdentityCenter	3		NetworkAdmin			ネットワーク管理	Network Account				検討中		Session Duration：4h / AWS Managed Policy：ReadOnlyAccess + 変更権限 / Customer Managed Policy：NetworkAdminPolicy / Inline Policy：VPC/TGW/RAM/Route53権限 / Permissions Boundary：NetworkBoundary / 割当Group：Network-Team / MFA：必須 / CLI利用：可
62	07_IdentityCenter	4		WorkloadAdmin			業務アカウント管理	各担当Account				検討中		Session Duration：4h / AWS Managed Policy：PowerUserAccess等を精査 / Customer Managed Policy：WorkloadAdminPolicy / Inline Policy：IAM管理を分離 / Permissions Boundary：WorkloadBoundary / 割当Group：App-Team-* / MFA：必須 / CLI利用：可
63	07_IdentityCenter	5		ReadOnly			監査・参照	全Account				確定		Session Duration：8h / AWS Managed Policy：ReadOnlyAccess / Customer Managed Policy：- / Inline Policy：- / Permissions Boundary：- / 割当Group：Auditor / MFA：必須 / CLI利用：可
64	07_IdentityCenter	6		BillingReadOnly			費用参照	Management				検討中		Session Duration：8h / AWS Managed Policy：Billing / Customer Managed Policy：BillingReadOnlyPolicy / Inline Policy：- / Permissions Boundary：- / 割当Group：Finance / MFA：必須 / CLI利用：不可／要件時
65	07_IdentityCenter	7		IncidentResponse			インシデント調査・封じ込め	全Account				検討中	利用時アラート	Session Duration：1h / AWS Managed Policy：SecurityIncidentResponse相当 / Customer Managed Policy：IncidentResponsePolicy / Inline Policy：対象Actionを限定 / Permissions Boundary：IRBoundary / 割当Group：CSIRT / MFA：必須 / CLI利用：可
66	07_IdentityCenter	8		BreakGlass			緊急復旧	必要Account				検討中	通常時は無効化または厳格保管	Session Duration：1h / AWS Managed Policy：AdministratorAccess相当 / Customer Managed Policy：BreakGlassPolicy / Inline Policy：緊急時のみ / Permissions Boundary：BreakGlassBoundary / 割当Group：指定個人 / MFA：強固なMFA / CLI利用：限定
67	08_CloudTrail	1	Trail		Trail Name	org-cloudtrail-main		Management		aws_cloudtrail.name	Console/APIでOrganization Trail確認	検討中		Region：ap-northeast-1 / 依存関係：Log Bucket/KMS
68	08_CloudTrail	2	Trail		is_organization_trail	true		Management		aws_cloudtrail.is_organization_trail	全メンバーAccountが対象	確定		Region：ap-northeast-1 / 依存関係：Organizations All Features
69	08_CloudTrail	3	Trail		is_multi_region_trail	true		Management		aws_cloudtrail.is_multi_region_trail	複数Regionイベントを確認	確定		Region：ap-northeast-1 / 依存関係：-
70	08_CloudTrail	4	Trail		include_global_service_events	true		Management		aws_cloudtrail.include_global_service_events	IAM等のイベントを確認	確定		Region：ap-northeast-1 / 依存関係：-
71	08_CloudTrail	5	イベント		Management Events	Read/Write		Management		event_selector	管理イベントがS3へ出力	検討中		Region：全Region / 依存関係：-
72	08_CloudTrail	6	イベント		Data Events	S3/Lambda等、要件対象のみ		Management		advanced_event_selector	対象イベントの出力確認	検討中	過剰取得に注意	Region：全Region / 依存関係：費用見積
73	08_CloudTrail	7	整合性		enable_log_file_validation	true		Management		aws_cloudtrail.enable_log_file_validation	Digestファイル確認	確定		Region：ap-northeast-1 / 依存関係：-
74	08_CloudTrail	8	出力		S3 Bucket	company-org-cloudtrail-logs		Log Archive		aws_s3_bucket	ログオブジェクト作成確認	検討中		Region：ap-northeast-1 / 依存関係：Bucket Policy
75	08_CloudTrail	9	出力		S3 Prefix	AWSLogs/<OrganizationId>/		Log Archive		s3_key_prefix	Prefix配下を確認	検討中		Region：ap-northeast-1 / 依存関係：Organization ID
76	08_CloudTrail	10	暗号化		KMS Key	alias/org-cloudtrail-logs		Log Archive		aws_kms_key / kms_key_id	暗号化ヘッダー確認	検討中		Region：ap-northeast-1 / 依存関係：Key Policy
77	08_CloudTrail	11	連携		CloudWatch Logs	要件に応じて有効		Security Tooling		cloud_watch_logs_group_arn	Log Groupへの出力確認	対象外		Region：ap-northeast-1 / 依存関係：IAM Role
78	08_CloudTrail	12	保管		Lifecycle	Standard→Glacier系→要件年数後削除		Log Archive		aws_s3_bucket_lifecycle_configuration	Storage Class移行確認	検討中		Region：ap-northeast-1 / 依存関係：監査要件
79	08_CloudTrail	13	保護		Object Lock	監査要件に応じて有効		Log Archive		object_lock_enabled	Retention確認	対象外		Region：ap-northeast-1 / 依存関係：Bucket作成時決定
80	08_CloudTrail	14	監視		Trail停止・削除検知	EventBridge→SNS/チケット		Security Tooling		aws_cloudwatch_event_rule	テストイベント通知	検討中		Region：ap-northeast-1 / 依存関係：CloudTrail Event
81	09_Config	1	Recorder		Configuration Recorder	全対象Account・Regionで有効		Root/対象OU		StackSetsでaws_config_configuration_recorder	Recorder status確認	検討中		Region：利用全Region
82	09_Config	2	Recorder		Recording Group	all_supported=true		全対応Resource		recording_group	記録リソース確認	検討中		Region：利用全Region
83	09_Config	3	Recorder		Global Resource Types	ホームRegionのみtrueを検討		IAM等		include_global_resource_types	重複記録有無確認	検討中		Region：指定Region
84	09_Config	4	Delivery		Delivery Channel	中央S3またはAccount内S3		全対象Account		aws_config_delivery_channel	Snapshot出力確認	検討中	集約方式を基本設計と整合	Region：利用全Region
85	09_Config	5	Delivery		Snapshot Frequency	24Hours		全対象Account		snapshot_delivery_properties	Snapshot作成確認	検討中		Region：利用全Region
86	09_Config	6	Aggregator		Organization Aggregator	全Account・全利用Region		Organization		aws_config_configuration_aggregator	集約画面で全Account確認	検討中		Region：ap-northeast-1
87	09_Config	7	Rules		Organization Rules	必須Controlを定義		OU/全Account		aws_config_organization_managed_rule等	Compliance結果確認	検討中		Region：利用全Region
88	09_Config	8	Rules		Conformance Pack	セキュリティ基準に応じて適用		Prod/Workloads		Organization Conformance Pack	展開状況確認	対象外		Region：利用全Region
89	09_Config	9	通知		SNS/EventBridge	Noncompliant変更を通知		High/Critical Control		aws_cloudwatch_event_rule	通知確認	検討中		Region：ap-northeast-1
90	09_Config	10	保管		Retention	監査要件に応じて設定		全対象Account		aws_config_retention_configuration	Retention設定確認	検討中		Region：ap-northeast-1
91	10_SecurityServices	1	Security Hub			有効化するSecurity Standardと無効Controlを一覧化						検討中		Delegated Admin：security-tooling / 対象Region：集約Region + Linked Region / 新規Account自動有効化：有効 / 集約・出力先：Security Tooling／EventBridge / 例外／抑制：無効Controlの理由を記録 / Terraform管理方式：サービス固有Organization設定リソース
92	10_SecurityServices	2	GuardDuty			S3/EKS/Runtime/Malware/RDS/Lambda Protectionを要件選択						検討中		Delegated Admin：security-tooling / 対象Region：利用全Region / 新規Account自動有効化：有効 / 集約・出力先：Security Tooling／S3 Export / 例外／抑制：Suppression Rule、Trusted IP / Terraform管理方式：Detector + Organization Configuration
93	10_SecurityServices	3	Inspector			EC2/ECR/Lambda/Lambda Code Scanningを要件選択						検討中		Delegated Admin：security-tooling / 対象Region：利用全Region / 新規Account自動有効化：有効 / 集約・出力先：Security Tooling/EventBridge / 例外／抑制：対象外Account・Resource / Terraform管理方式：Inspector2 Organization設定
94	10_SecurityServices	4	Macie			S3機密データ検出Job						対象外	機密情報検知要件時	Delegated Admin：security-tooling / 対象Region：対象Region / 新規Account自動有効化：要件に応じる / 集約・出力先：Security Tooling / 例外／抑制：対象Bucket・除外条件 / Terraform管理方式：Macie Organization設定
95	10_SecurityServices	5	Detective			Behavior Graph						対象外		Delegated Admin：security-tooling / 対象Region：対応Region / 新規Account自動有効化：要件に応じる / 集約・出力先：Security Tooling / 例外／抑制：メンバー招待／自動加入 / Terraform管理方式：サービス固有設定
96	10_SecurityServices	6	IAM Access Analyzer			Organization Zone of Trust						検討中		Delegated Admin：security-toolingまたは各Account / 対象Region：利用Region / 新規Account自動有効化：新規Account baselineで作成 / 集約・出力先：Security Tooling/EventBridge / 例外／抑制：Archive Rule / Terraform管理方式：aws_accessanalyzer_analyzer
97	10_SecurityServices	7	Firewall Manager			WAF/Shield/Network Firewall/Security Group Policy						対象外	Config前提	Delegated Admin：security-tooling / 対象Region：対象Region / 新規Account自動有効化：有効 / 集約・出力先：Security Tooling / 例外／抑制：対象OU・除外Resource / Terraform管理方式：サービス固有Policy
98	11_LogS3_KMS	1			Bucket名	company-org-cloudtrail-logs		Log Archive		aws_s3_bucket		検討中		リソース種別：S3 Bucket / 論理名：org-cloudtrail-logs / Region：ap-northeast-1 / Policy要件：Organization Trail書込許可
99	11_LogS3_KMS	2			Versioning	Enabled		Log Archive		aws_s3_bucket_versioning		確定		リソース種別：S3 Bucket / 論理名：org-cloudtrail-logs / Region：ap-northeast-1 / Policy要件：誤削除・上書き復旧
100	11_LogS3_KMS	3			Public Access Block	全項目true		Log Archive		aws_s3_bucket_public_access_block		確定		リソース種別：S3 Bucket / 論理名：org-cloudtrail-logs / Region：ap-northeast-1 / Policy要件：公開拒否
101	11_LogS3_KMS	4			書込Principal	cloudtrail.amazonaws.com		Log Archive		aws_s3_bucket_policy		検討中		リソース種別：S3 Policy / 論理名：cloudtrail-bucket-policy / Region：ap-northeast-1 / Policy要件：SourceArn/OrgID/ACL条件
102	11_LogS3_KMS	5			TLS強制	aws:SecureTransport=falseをDeny		Log Archive		aws_s3_bucket_policy		確定		リソース種別：S3 Policy / 論理名：deny-insecure-transport / Region：ap-northeast-1 / Policy要件：全Principal
103	11_LogS3_KMS	6			移行・削除	監査要件に合わせて定義		Log Archive		aws_s3_bucket_lifecycle_configuration		検討中		リソース種別：S3 Lifecycle / 論理名：cloudtrail-lifecycle / Region：ap-northeast-1 / Policy要件：保管期間遵守
104	11_LogS3_KMS	7			Alias	alias/org-cloudtrail-logs		Log Archive		aws_kms_key + aws_kms_alias		検討中		リソース種別：KMS Key / 論理名：org-cloudtrail-key / Region：ap-northeast-1 / Policy要件：Key Admin/Key Userを分離
105	11_LogS3_KMS	8			Rotation	enable_key_rotation=true		Log Archive		aws_kms_key		確定		リソース種別：KMS Key / 論理名：org-cloudtrail-key / Region：ap-northeast-1 / Policy要件：暗号鍵ローテーション
106	11_LogS3_KMS	9			Encrypt許可	CloudTrailサービスに限定		Log Archive		aws_kms_key.policy		検討中		リソース種別：KMS Policy / 論理名：cloudtrail-key-policy / Region：ap-northeast-1 / Policy要件：Encryption Context/SourceArn条件
107	11_LogS3_KMS	10			Decrypt許可	SecurityAuditRole等に限定		Log Archive		aws_kms_key.policy		検討中		リソース種別：KMS Policy / 論理名：security-read / Region：ap-northeast-1 / Policy要件：ログ参照申請に基づく
108	11_LogS3_KMS	11			SCP/Resource Policy	一般管理者による削除を拒否		Log Archive		SCP + Bucket Policy		検討中		リソース種別：保護 / 論理名：ログ削除防止 / Region：全Region / Policy要件：BreakGlassを除外
109	12_TerraformBackend	1			State Bucket	company-terraform-state-<management-account-id>	Stateを中央管理			aws_s3_bucket / backend.s3.bucket		検討中		セキュリティ制御：専用管理Account・最小権限
110	12_TerraformBackend	2			State Key	<layer>/<system>/<env>/terraform.tfstate	State境界を明確化			backend.s3.key		確定		セキュリティ制御：Root Moduleごとに分離
111	12_TerraformBackend	3			State Region	ap-northeast-1	管理Region統一			backend.s3.region		検討中		セキュリティ制御：許可Region内
112	12_TerraformBackend	4			State Lock	use_lockfile=true	同時更新を防止			backend.s3.use_lockfile		確定		セキュリティ制御：Lock解除権限を限定
