分類	リソース	CDK化可否	推奨実装	備考	AWS公式ドキュメント
アプリケーション	EBS	○（L2）	ec2.Volume	EBS Volumeを独立またはEC2付随で作成可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_ec2.Volume.html
アプリケーション	AMI	△	ec2.MachineImage	AMI IDやSSM Parameter等を参照。通常AMI本体は別工程で作成	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_ec2.MachineImage.html
アプリケーション	Security Group	○（L2）	ec2.SecurityGroup	Ingress / Egress Ruleを含めて管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_ec2.SecurityGroup.html
アプリケーション	ELB（Classic Load Balancer）	○（L2）	elasticloadbalancing.LoadBalancer	Classic ELBを利用する場合にCDK化可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_elasticloadbalancing.LoadBalancer.html
アプリケーション	ALB	○（L2）	elasticloadbalancingv2.ApplicationLoadBalancer	ALB、Listener、Target Group等を管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_elasticloadbalancingv2.ApplicationLoadBalancer.html
アプリケーション	WAF	○（L1）	wafv2.CfnWebACL	WebACL、Rule、IPSet等を管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_wafv2.CfnWebACL.html
データ分析	Glue Database	○（L1）	glue.CfnDatabase	Glue Data Catalog Databaseを管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_glue-readme.html
データ分析	Glue Crawler	○（L1）	glue.CfnCrawler	Crawler、Role、Target等を管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_glue.CfnCrawler.html
データ分析	Glue Table	○（L1）	glue.CfnTable	Data Catalog Tableを管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_glue-readme.html
データ分析	Glue Connection	○（L1）	glue.CfnConnection	Glue Connectionを管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_glue-readme.html
データ分析	Glue Job	○（L1）	glue.CfnJob	Job、Role、Script Location、Parameter等を管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_glue-readme.html
データ分析	Glue Workflow	○（L1）	glue.CfnWorkflow	Workflowを管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_glue.CfnWorkflow.html
データ分析	Athena Workgroup	○（L1）	athena.CfnWorkGroup	WorkGroup、Result Configuration、Encryption等を管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_athena.CfnWorkGroup.html
データ分析	S3 Bucket（コード）	○（L2）	s3.Bucket	コード格納用Bucketを管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_s3.Bucket.html
データ分析	S3 Bucket（データ）	○（L2）	s3.Bucket	データ格納用Bucketを管理可能	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_s3.Bucket.html
データ分析	Lake Formation	○（L1）	Lake Formation CfnXxx	DataLakeSettings、Permissions等を管理可能。L1中心	https://docs.aws.amazon.com/cdk/api/v2/docs/aws-cdk-lib.aws_lakeformation-readme.html
