No.	大分類	中分類	設計項目	設定値（記入欄）	設計内容・記入基準	対象／適用範囲	確認方法	重要度	確認状況	備考
43	03. アカウント設計	アカウントパラメータ	アカウント停止条件		利用停止判断の条件を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
44	03. アカウント設計	アカウントパラメータ	アカウント閉鎖条件		データ保管、承認、契約確認等の閉鎖条件を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
45	04. 認証・権限設計	Root／Identity Center	管理アカウントRoot MFA		MFA方式、保管者、利用条件を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
46	04. 認証・権限設計	Root／Identity Center	メンバーアカウントRoot管理方式		Root資格情報の集中管理または個別管理方式を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
47	04. 認証・権限設計	Root／Identity Center	Rootメール管理		共有メールボックス、配布先、変更手順を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
48	04. 認証・権限設計	Root／Identity Center	Root利用条件		Root利用が許可される緊急事象を定義する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
49	04. 認証・権限設計	Root／Identity Center	Root利用承認者		Root利用の承認者を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
50	04. 認証・権限設計	Root／Identity Center	Root利用後処理		パスワード変更、MFA確認、証跡確認、報告方法を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
51	04. 認証・権限設計	Root／Identity Center	Identity Source		Identity Center Directory、外部IdP等の認証元を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
52	04. 認証・権限設計	Root／Identity Center	MFA要件		MFA必須対象、方式、再認証条件を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
53	04. 認証・権限設計	Root／Identity Center	セッション時間		Permission Setごとのセッション有効時間を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
54	04. 認証・権限設計	Root／Identity Center	Permission Set名		付与するPermission Set名を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
55	04. 認証・権限設計	Root／Identity Center	Permission Set用途		管理者、参照者、監査者等の用途を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
56	04. 認証・権限設計	Root／Identity Center	付与ポリシー		Permission Setに付与する権限ポリシーを記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
57	04. 認証・権限設計	Root／Identity Center	割当Group		Permission Setを割り当てるユーザーGroupを記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
58	04. 認証・権限設計	Root／Identity Center	割当アカウント		Permission Setの割当先アカウントを記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
59	04. 認証・権限設計	Root／Identity Center	本番変更権限		本番環境で許可する変更操作と禁止操作を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
60	04. 認証・権限設計	Root／Identity Center	緊急アクセスRole		緊急時に利用するRole名、権限、利用条件を記入する。	Organizationまたはアカウントごと	ログイン・許可／拒否試験	必須	未確認	
61	05. SCP設計	Service Control Policy	SCP名		SCPの正式名称を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
62	05. SCP設計	Service Control Policy	Policy ID		AWSが発行するPolicy IDを構築後に記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
63	05. SCP設計	Service Control Policy	目的		制御対象と導入目的を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
64	05. SCP設計	Service Control Policy	適用先		Root、OU、アカウントのいずれへ適用するか記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
65	05. SCP設計	Service Control Policy	Deny対象Action		拒否するAWS API Actionを記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
66	05. SCP設計	Service Control Policy	対象Resource		制御対象Resourceまたはワイルドカード条件を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
67	05. SCP設計	Service Control Policy	条件キー		RequestedRegion、PrincipalArn、PrincipalOrgID等の条件を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
68	05. SCP設計	Service Control Policy	例外Role／Principal		制御から除外するRoleまたはPrincipalを記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
69	05. SCP設計	Service Control Policy	例外理由		例外が必要な理由と承認者を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
70	05. SCP設計	Service Control Policy	適用順序		Test、Sandbox、NonProd、Prod等の段階適用順を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
71	05. SCP設計	Service Control Policy	ロールバック方法		誤適用時に解除または旧版へ戻す手順を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
72	05. SCP設計	Service Control Policy	影響対象		影響するAWSサービス・運用手順を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
73	05. SCP設計	Service Control Policy	テスト項目		許可操作、拒否操作、例外Roleの試験内容を記入する。	SCPごと	Policy画面・CloudTrail・API試験	必須	未確認	
74	06. 組織ポリシー設計	Tag／Backup／その他Policy	Tag Policy名		Tag Policyの名称を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
75	06. 組織ポリシー設計	Tag／Backup／その他Policy	必須Tag Key		必須とするTag Keyを列挙する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
76	06. 組織ポリシー設計	Tag／Backup／その他Policy	許容Tag Value		固定値または許容値一覧を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
77	06. 組織ポリシー設計	Tag／Backup／その他Policy	大文字小文字ルール		Tag Key／Valueの大小文字ルールを記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
78	06. 組織ポリシー設計	Tag／Backup／その他Policy	Tag Policy適用先		適用するRoot、OU、アカウントを記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
79	06. 組織ポリシー設計	Tag／Backup／その他Policy	Backup Policy名		Backup Policyの名称を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
80	06. 組織ポリシー設計	Tag／Backup／その他Policy	バックアップ対象		対象サービス、Resource、Tag条件を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
81	06. 組織ポリシー設計	Tag／Backup／その他Policy	バックアップ頻度		日次、週次等の頻度を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
82	06. 組織ポリシー設計	Tag／Backup／その他Policy	保持期間		世代数または保持日数を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
83	06. 組織ポリシー設計	Tag／Backup／その他Policy	クロスアカウントコピー		コピー先アカウントと条件を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
84	06. 組織ポリシー設計	Tag／Backup／その他Policy	クロスリージョンコピー		コピー先リージョンと条件を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
85	06. 組織ポリシー設計	Tag／Backup／その他Policy	Resource Control Policy		利用有無、対象サービス、制御内容を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
86	06. 組織ポリシー設計	Tag／Backup／その他Policy	AI Services Opt-out Policy		利用有無と適用方針を記入する。	Policyごと	有効ポリシー・準拠状況を確認	必須	未確認	
87	07. 委任管理設計	CloudFormation StackSets	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	CloudFormation StackSets	Organizationsのサービスアクセス一覧を確認	必須	未確認	
88	07. 委任管理設計	CloudFormation StackSets	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	CloudFormation StackSets	サービス管理画面で委任先を確認	必須	未確認	
89	07. 委任管理設計	CloudFormation StackSets	管理リージョン		管理・集約に使用するリージョンを記入する。	CloudFormation StackSets	サービス設定画面で確認	必須	未確認	
90	07. 委任管理設計	CloudFormation StackSets	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	CloudFormation StackSets	テストアカウント追加で確認	必須	未確認	
91	07. 委任管理設計	AWS Security Hub	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	AWS Security Hub	Organizationsのサービスアクセス一覧を確認	必須	未確認	
92	07. 委任管理設計	AWS Security Hub	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	AWS Security Hub	サービス管理画面で委任先を確認	必須	未確認	
93	07. 委任管理設計	AWS Security Hub	管理リージョン		管理・集約に使用するリージョンを記入する。	AWS Security Hub	サービス設定画面で確認	必須	未確認	
94	07. 委任管理設計	AWS Security Hub	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	AWS Security Hub	テストアカウント追加で確認	必須	未確認	
95	07. 委任管理設計	Amazon GuardDuty	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	Amazon GuardDuty	Organizationsのサービスアクセス一覧を確認	必須	未確認	
96	07. 委任管理設計	Amazon GuardDuty	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	Amazon GuardDuty	サービス管理画面で委任先を確認	必須	未確認	
97	07. 委任管理設計	Amazon GuardDuty	管理リージョン		管理・集約に使用するリージョンを記入する。	Amazon GuardDuty	サービス設定画面で確認	必須	未確認	
98	07. 委任管理設計	Amazon GuardDuty	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	Amazon GuardDuty	テストアカウント追加で確認	必須	未確認	
99	07. 委任管理設計	Amazon Inspector	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	Amazon Inspector	Organizationsのサービスアクセス一覧を確認	必須	未確認	
100	07. 委任管理設計	Amazon Inspector	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	Amazon Inspector	サービス管理画面で委任先を確認	必須	未確認	
101	07. 委任管理設計	Amazon Inspector	管理リージョン		管理・集約に使用するリージョンを記入する。	Amazon Inspector	サービス設定画面で確認	必須	未確認	
102	07. 委任管理設計	Amazon Inspector	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	Amazon Inspector	テストアカウント追加で確認	必須	未確認	
103	07. 委任管理設計	Amazon Macie	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	Amazon Macie	Organizationsのサービスアクセス一覧を確認	必須	未確認	
104	07. 委任管理設計	Amazon Macie	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	Amazon Macie	サービス管理画面で委任先を確認	必須	未確認	
105	07. 委任管理設計	Amazon Macie	管理リージョン		管理・集約に使用するリージョンを記入する。	Amazon Macie	サービス設定画面で確認	必須	未確認	
106	07. 委任管理設計	Amazon Macie	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	Amazon Macie	テストアカウント追加で確認	必須	未確認	
107	07. 委任管理設計	AWS Config	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	AWS Config	Organizationsのサービスアクセス一覧を確認	必須	未確認	
108	07. 委任管理設計	AWS Config	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	AWS Config	サービス管理画面で委任先を確認	必須	未確認	
109	07. 委任管理設計	AWS Config	管理リージョン		管理・集約に使用するリージョンを記入する。	AWS Config	サービス設定画面で確認	必須	未確認	
110	07. 委任管理設計	AWS Config	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	AWS Config	テストアカウント追加で確認	必須	未確認	
111	07. 委任管理設計	AWS Backup	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	AWS Backup	Organizationsのサービスアクセス一覧を確認	必須	未確認	
112	07. 委任管理設計	AWS Backup	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	AWS Backup	サービス管理画面で委任先を確認	必須	未確認	
113	07. 委任管理設計	AWS Backup	管理リージョン		管理・集約に使用するリージョンを記入する。	AWS Backup	サービス設定画面で確認	必須	未確認	
114	07. 委任管理設計	AWS Backup	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	AWS Backup	テストアカウント追加で確認	必須	未確認	
115	07. 委任管理設計	AWS Firewall Manager	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	AWS Firewall Manager	Organizationsのサービスアクセス一覧を確認	必須	未確認	
116	07. 委任管理設計	AWS Firewall Manager	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	AWS Firewall Manager	サービス管理画面で委任先を確認	必須	未確認	
117	07. 委任管理設計	AWS Firewall Manager	管理リージョン		管理・集約に使用するリージョンを記入する。	AWS Firewall Manager	サービス設定画面で確認	必須	未確認	
118	07. 委任管理設計	AWS Firewall Manager	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	AWS Firewall Manager	テストアカウント追加で確認	必須	未確認	
119	07. 委任管理設計	IAM Access Analyzer	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	IAM Access Analyzer	Organizationsのサービスアクセス一覧を確認	必須	未確認	
120	07. 委任管理設計	IAM Access Analyzer	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	IAM Access Analyzer	サービス管理画面で委任先を確認	必須	未確認	
121	07. 委任管理設計	IAM Access Analyzer	管理リージョン		管理・集約に使用するリージョンを記入する。	IAM Access Analyzer	サービス設定画面で確認	必須	未確認	
122	07. 委任管理設計	IAM Access Analyzer	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	IAM Access Analyzer	テストアカウント追加で確認	必須	未確認	
123	07. 委任管理設計	AWS CloudTrail	Trusted Access利用有無		当該サービスでOrganizations Trusted Accessを利用するか記入する。	AWS CloudTrail	Organizationsのサービスアクセス一覧を確認	必須	未確認	
124	07. 委任管理設計	AWS CloudTrail	Delegated Administrator		委任管理先アカウント名とAccount IDを記入する。	AWS CloudTrail	サービス管理画面で委任先を確認	必須	未確認	
125	07. 委任管理設計	AWS CloudTrail	管理リージョン		管理・集約に使用するリージョンを記入する。	AWS CloudTrail	サービス設定画面で確認	必須	未確認	
126	07. 委任管理設計	AWS CloudTrail	新規アカウント自動加入		新規アカウントを自動有効化・自動加入するか記入する。	AWS CloudTrail	テストアカウント追加で確認	必須	未確認	
127	08. CloudTrail設計	Organization Trail	Trail名		Organization Trailの名称を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
128	08. CloudTrail設計	Organization Trail	Organization Trail		組織全体を対象にするか記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
129	08. CloudTrail設計	Organization Trail	Multi Region		全リージョン記録の有無を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
130	08. CloudTrail設計	Organization Trail	Global Service Event		グローバルサービスイベント記録の有無を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
131	08. CloudTrail設計	Organization Trail	Management Event		Read／Writeイベントの記録範囲を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
132	08. CloudTrail設計	Organization Trail	Data Event		S3、Lambda等の記録対象を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
133	08. CloudTrail設計	Organization Trail	Insights Event		CloudTrail Insightsの利用有無を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
134	08. CloudTrail設計	Organization Trail	ログファイル検証		Log File Validationの有効・無効を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
135	08. CloudTrail設計	Organization Trail	保存先アカウント		ログ保存先アカウントを記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
136	08. CloudTrail設計	Organization Trail	保存先S3 Bucket		保存先Bucket名を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
137	08. CloudTrail設計	Organization Trail	S3 Prefix		ログ格納Prefixを記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
138	08. CloudTrail設計	Organization Trail	暗号化方式		SSE-S3またはSSE-KMS等を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
139	08. CloudTrail設計	Organization Trail	KMS Key		利用するKMS Keyの識別情報を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
140	08. CloudTrail設計	Organization Trail	保管期間		監査要件に基づく保管期間を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
141	08. CloudTrail設計	Organization Trail	Lifecycle		ストレージクラス移行・削除条件を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
142	08. CloudTrail設計	Organization Trail	Object Lock		利用有無、保持モード、保持期間を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
143	08. CloudTrail設計	Organization Trail	ログ参照権限		閲覧可能なRole、部門、申請条件を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
144	08. CloudTrail設計	Organization Trail	停止・削除検知		Trail停止、削除、設定変更の通知方法を記入する。	Organization全体	ログ出力・暗号化・拒否試験	必須	未確認	
145	09. AWS Config設計	Config集中管理	対象アカウント		Configを有効化するアカウント範囲を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
146	09. AWS Config設計	Config集中管理	対象リージョン		Configを有効化するリージョンを記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
147	09. AWS Config設計	Config集中管理	記録対象Resource		全対応Resourceまたは限定対象を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
148	09. AWS Config設計	Config集中管理	Global Resource記録		IAM等のグローバルResourceを記録するリージョンを記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
149	09. AWS Config設計	Config集中管理	Delivery Channel		Snapshot／履歴の出力先を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
150	09. AWS Config設計	Config集中管理	Snapshot頻度		設定Snapshotの配信頻度を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
151	09. AWS Config設計	Config集中管理	Aggregator名		Organization Aggregator名を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
152	09. AWS Config設計	Config集中管理	Aggregator配置アカウント		集約先アカウントを記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
153	09. AWS Config設計	Config集中管理	Aggregator対象リージョン		集約対象リージョンを記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
154	09. AWS Config設計	Config集中管理	Organization Rule		組織全体へ適用するConfig Ruleを列挙する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
155	09. AWS Config設計	Config集中管理	Conformance Pack		利用するConformance Pack名を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
156	09. AWS Config設計	Config集中管理	非準拠通知		通知先、重要度、対応期限を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
157	09. AWS Config設計	Config集中管理	自動修復		自動修復対象と実行条件を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
158	09. AWS Config設計	Config集中管理	保持期間		Configデータの保持期間を記入する。	対象アカウント・リージョン	Recorder・Aggregator・Complianceを確認	必須	未確認	
159	10. セキュリティサービス設計	Security Hub	集約リージョン		Security Hubの集約リージョンに関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
160	10. セキュリティサービス設計	Security Hub	Linked Region		Security HubのLinked Regionに関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
161	10. セキュリティサービス設計	Security Hub	有効化Standard		Security Hubの有効化Standardに関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
162	10. セキュリティサービス設計	Security Hub	無効化Control		Security Hubの無効化Controlに関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
163	10. セキュリティサービス設計	Security Hub	無効化理由		Security Hubの無効化理由に関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
164	10. セキュリティサービス設計	Security Hub	Finding集約		Security HubのFinding集約に関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
165	10. セキュリティサービス設計	Security Hub	Finding通知先		Security HubのFinding通知先に関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
166	10. セキュリティサービス設計	Security Hub	Severity別対応時間		Security HubのSeverity別対応時間に関する採用値・対象・運用条件を記入する。	Security Hub	管理画面・Finding・通知試験	必須	未確認	
167	10. セキュリティサービス設計	GuardDuty	対象リージョン		GuardDutyの対象リージョンに関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
168	10. セキュリティサービス設計	GuardDuty	自動有効化		GuardDutyの自動有効化に関する採用値・対象・運用条件を記入する。	GuardDuty	管理画面・Finding・通知試験	必須	未確認	
